Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
The Sport of the Gods,,Drama,"out (17).pdf (https://dl.airtable.com/gdLo2NPMTRyq3RPBTqCH_out%20(17).pdf),out (18).pdf (https://dl.airtable.com/i0g3JJT3S3KGXSFdvoMu_out%20(18).pdf)","Sampson gives the release date as 1923, but other sources consistently cite 1921. --MP

The Chicago Defender",Reol Productions Corporation,1921,4/18/1921,6,"Boyer,Abrahams,Brown,Brown,Hall,Armour,Walpole,Thomas,Mason,Morton,Chenault,Burris","Vernot,Forrest",Levy,,"""""""The sport of the gods"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/qa0zXG9xTsOsw0HSmJZP_%22The%20sport%20of%20the%20gods%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""1 - NYPL Digital Collections.pdf (https://dl.airtable.com/J1qlgmoIStq5qB7Tywot_%22The%20sport%20of%20the%20gods%221%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/LKZ6wNKQEubsElAWVi2Q_%22The%20sport%20of%20the%20gods%222%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/roop8OwgQ7uhjfqnLNNT_%22The%20sport%20of%20the%20gods%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""4 - NYPL Digital Collections.pdf (https://dl.airtable.com/CEpB4D5TOaQLgQUZt4pA_%22The%20sport%20of%20the%20gods%224%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""5 - NYPL Digital Collections.pdf (https://dl.airtable.com/HwdIUDaETmlk77erWbQT_%22The%20sport%20of%20the%20gods%225%20-%20NYPL%20Digital%20Collections.pdf)""","Richard E. Norman and Race Filmmaking,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""Within Our Gates: Ethnicity in American Feature Films, 1911-1960"",Blacks in Black and White","Muse,Dunbar,Forrest",,http://digitalcollections.nypl.org/items/510d47df-fb7c-a3d9-e040-e00a18064a99,,Robert Levy,"Elizabeth Boyer, Edward R. Abrahams, George Edward Brown, Lucille Brown, Lindsay J. Hall, Jean Armour, Stanley Walpole, Walter Thomas, Ruby Mason, Edna Morton, Lawrence Chenault, Jim Burris","Henry J. Vernot, Edgar Forrest",,"Clarence Muse, Paul Lawrence Dunbar, Edgar Forrest",
The Stranger,,"Western,Drama",out (19).pdf (https://dl.airtable.com/v5S0v6UGTfaBJEutQu63_out%20(19).pdf),"Box 50, folder 3, The Houston Informer, APril 22, 1921

The Chicago Defender",,1921,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Toussaint L'Ouverture,,Biography,ProQuestDocuments-2016-06-05 (8).pdf (https://dl.airtable.com/ACylPHPTSwiG8pJAAtJ9_ProQuestDocuments-2016-06-05%20(8).pdf),"May never have been released 

See ""J. A. JACKSON'S PAGE: MUSE ENTERPRISES SUCCEEDING."" The Billboard (Archive: 1894-1960) 33, no. 24 (Jun 11, 1921): 45. ","Blue Ribbon Pictures,Delsarte Film Corporation",1921,,,Muse,Muse,Muse,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Clarence Muse,Clarence Muse,Clarence Muse,,,
Walker Newsreel No. 1,,Newsreel,,,T.H.B. Walker's Colored Pictures,1921,1921,3,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Ties of Blood,,,,Unable to verify,Reol Productions Corporation,8/1/1921,9/1/1921,,"Clough,Ray,Pleasants",Levy,Levy,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Robert Levy,"Inez Clough, Arthur Ray, Henry Pleasants",Robert Levy,,,
The Burden of Race,,Drama,out (20).pdf (https://dl.airtable.com/aHd5nmrHRji4loQNFi1f_out%20(20).pdf),"Verification: REOL'S NEW OFFICE. (1922, Aug 26). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491935436?accountid=14512 ",Reol Productions Corporation,9/1/1921,12/1/1921,6,"Chenault,Morton,Verwayen,Williams,Young,Ray",,,,"""""""The burden of race"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/j3QmMP7TF6VvbhwzyhIl_%22The%20burden%20of%20race%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/G9gqaagQTusQ6TWhpyZa_%22The%20burden%20of%20race%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/U6en6diATC2jRYTzX6zL_%22The%20burden%20of%20race%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/ma8FHXdjQ5aRPTjzg7fw_%22The%20burden%20of%20race%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/9UZYDFnTkaz1TAYYGTtG_%22The%20burden%20of%20race%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/5l3u94aWSBCMy5lCamj4_%22The%20burden%20of%20race%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/g2R47nZWRTqBNrMUbxfv_%22The%20burden%20of%20race%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",Duncan,,http://digitalcollections.nypl.org/items/510d47df-fb49-a3d9-e040-e00a18064a99,,,"Lawrence Chenault, Edna Morton, Percy Verwayen, Elizabeth Williams, Mabel Young, Arthur Ray",,,Hadley J. Duncan,
The Simp,,,,Unable to Verify,Reol Productions Corporation,9/28/1921,1921,2,"Dudley,Clough,Morton,Shannon,Verwayen",Levy,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,,,"Sherman Dudley, Inez Clough, Edna Morton, Alex K. Shannon, Percy Verwayen",Robert Levy,,,
Arrowsmith,,,,"GPJ Box 2,  Arrowsmith


unable to verify-MC",,12/13/1921,,,"Coleman,Brooks,Hayes,Anson,Bennett,Hopton",Ford,,,,George P. Johnson Negro Film Collection,,,,,,"Ronald Coleman, Clarence Brooks, Helen Hayes, A.E Anson, Richard Bennett, King Russell Hopton",John Ford,,,
A Day with the Tenth Cavalry at Fort Huachaca,,Actuality,clipping_5245661.pdf (https://dl.airtable.com/XY6WzUHvSeyr7zCunNPJ_clipping_5245661.pdf),"The Pittsburgh Courier (Pittsburgh, Pennsylvania) 28 Aug 1926, Sat ' Page 3",Lincoln Motion Picture Company,1922,1922,,,,,Gant,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,Harry Gant
A Shot in the Night,,"Drama,Comedy",out(5).pdf (https://dl.airtable.com/AaONrTRNSWS7g3ImQ1Ju_out(5).pdf),"Afro-American (1893-1988) [Baltimore, Md] 28 Sep 1929: A8 -MC
",North State,1922,,,"Smart,Hoelby,Long,Freeman,Amos,Tolliver Brothers",,Strasser,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Ben Strasser,"Bobby Smart, Walter Hoelby, Walter Long, Ruth Freeman, Tom Amos,  Tolliver Brothers",,,,
A Tuskegee Pilgrimage,,,clipping_5212626.pdf (https://dl.airtable.com/PlB4jVy5RlOPl5adEIA7_clipping_5212626.pdf),"Verification:  The Dallas Express (Dallas, Texas)
14 Oct 1922, Page 7 - MC",Reol Productions Corporation,1922,1922,,,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,,,,,,,
Black Thunderbolt,,Boxing,"clipping_5211193.pdf (https://dl.airtable.com/3gL1wh3rSW2IVPbAIz0f_clipping_5211193.pdf),out (1).pdf (https://dl.airtable.com/Y2bBBQ2hT3W9wDX6bvnz_out%20(1).pdf)","Verification: ""The black thunderbolt"". (1921, Dec 30). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530461785?accountid=14512��- SN



Filmed in Spain.",A.A. Millman,1922,,7,Johnson,,,,,Frame by Frame: A Black Filmography (Part 1),,,,,,Jack Johnson,,,,
Come Back,,,,Unable to Verify ,Enterprise Film Company,1922,1922,,"Fullen,Nolan,Ray,Watson,Price",,Whipper,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Leigh Whipper,"Louise Fullen, K.D. Nolan, Ellen Ray, Ethel Watson, Victor Price",,,,
Easy Money,,Drama,out (41).pdf (https://dl.airtable.com/L9KrROb5R9isVHxTa3xA_out%20(41).pdf),"Richards gives the date as 1921. Distribution date appears to be 1922. See D, Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), Apr 01, 1922. --MP
",Reol Productions Corporation,1922,4/3/1922,,"Dudley,Morton,Verwayen,Clough,Pryor,Shannon","Levy,Dudley",,,"""Easy money"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/OPWo1JYBRxiCmjv1txia_Easy%20money%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/n85pjxCmRiuVPOgIdm9A_Easy%20money%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/1fTmoOwSsZqcRSFaYIKQ_Easy%20money%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/7kOGv2LJQdSYHgrAioS4_Easy%20money%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/IntfWDYPRZCE5znQpWkw_Easy%20money%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/ykp4Xx0MTIWWYiwLzCe6_Easy%20money%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/jd0WW9SS5G12OHwjfzCA_Easy%20money%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Brown,,http://digitalcollections.nypl.org/items/510d47df-fb57-a3d9-e040-e00a18064a99,,,"Sherman Dudley, Edna Morton, Percy Verwayen, Inez Clough, H.L. Pryor, Alex K. Shannon","Robert Levy, Sherman Dudley",,J. Rufus Brown,
Elks Parade,,Actuality,out (5).pdf (https://dl.airtable.com/Tkz3dWTISCObxUTH8J0A_out%20(5).pdf),DEFENDER'S FILM OF ELKS' PARADE SHOWN IN GOTHAM. ,Chicago Defender,1922,1923,,,,,,,,,,,,,,,,,
How High Is Up?,,Comedy,out.pdf (https://dl.airtable.com/fue7BW2xSZ2wVpXbJ04M_out.pdf),"Sampson (1977) gives the production company as Seminole, but newspapers from the period give the production company as Lincoln. See ""HOW HIGH IS UP"" IS NEWEST FILM: FAMOUS QUERY OF MOSS AND FRYE USED ...
Jackson, J A
Afro-American (1893-1988); Oct 19, 1923; The Baltimore Afro-American pg. 7--MP",Lincoln Motion Picture Company,1922,10/1/1923,,"Moss,Frye",,,,,Blacks in Black and White,,,,,,"Arthur G. Moss, Arthur Frye",,,,
Peacock News Reel #2,,Actuality,,"Unable to Verify

",Peacock Photoplay Company,1922,,,"Gourdin,Parlam",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Ned Gourdin, Florence Parlam",,,,
Shoot 'Em Up Sam,,Western,out (16).pdf (https://dl.airtable.com/1H8aFbHTkCM9EXwFyVHw_out%20(16).pdf),"D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Apr 22, 1922. ",Black Western Film Company,1922,,,Nolan,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,Kid Nolan,,,,
Special Town Talk,,Comedy,out (61).pdf (https://dl.airtable.com/8Z0EN5D0Rc6KAfO46afy_out%20(61).pdf),Display Ad 13 -- no Title. ,,1922,1922,,,,,,,,,,,,,,,,,
Spitfire,,Drama,"out(11).pdf (https://dl.airtable.com/X1PwZUalRiiLARRQJpB1_out(11).pdf),out(12).pdf (https://dl.airtable.com/vpkCldSC2M5rfWEgVdg1_out(12).pdf),out(13).pdf (https://dl.airtable.com/zKkI7fhZTaqM43JdZezk_out(13).pdf),clipping_5275613.pdf (https://dl.airtable.com/8tcOo3VqRa6BW5KsR6dq_clipping_5275613.pdf)","The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 26 Aug 1922: 7; Afro-American (1893-1988) [Baltimore, Md] 08 Dec 1922: 15; The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 17 June 1922: 7;  The Topeka Daily Capital
(Topeka, Kansas)
26 Nov 1922, Sun ' Page 31 ",Reol Productions Corporation,1922,7/24/1922,5,"Morton,Chenault,Brown,Martin,Young,Slater,Robinson,Robinson,Cook,Williams,Smith",,,,"""Spitfire"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/3H6YVucPQpGiRbqWvMPb_Spitfire%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 1- NYPL Digital Collections.pdf (https://dl.airtable.com/JRpVMqtgS2msuJvYzQXH_Spitfire%22%201-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/WqLWnV6tQueXCqShi3b7_Spitfire%222%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/0Ow6mlH8Qg6U18K1NMiz_Spitfire%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""5 - NYPL Digital Collections.pdf (https://dl.airtable.com/aXP2EhhxTfmSXKa0gMUe_Spitfire%225%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/tp9xnwS2ZwCtMyI1tOgk_Spitfire%22%207%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""6 - NYPL Digital Collections.pdf (https://dl.airtable.com/FkUfaGXBQGinPh2XUsqa_Spitfire%226%20-%20NYPL%20Digital%20Collections.pdf)""","Slow Fade to Black,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",,,http://digitalcollections.nypl.org/items/510d47df-fb81-a3d9-e040-e00a18064a99,,,"Edna Morton, Lawrence Chenault, George Edward Brown, Daisy Martin, Mabel Young, Bob Slater, Mademe Robinson, Arthur Robinson, Sam Cook, Ed Williams, Speedy Smith",,,,
The Call of His People,,Drama,out (20).pdf (https://dl.airtable.com/L88fPl8R32zWssngiV3S_out%20(20).pdf),"Verification: REOL'S NEW OFFICE. (1922, Aug 26). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491935436?accountid=14512

Richards give release date as 1921. --MP��",Reol Productions Corporation,1922,1922,6,"Gilbert,Brown,Morton,Verwayen,Chenault,Kemp,Steven",,,,"""""""The call of his people"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/fSxPa2HCTYGJ9DM0SMwO_%22The%20call%20of%20his%20people%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 2- NYPL Digital Collections.pdf (https://dl.airtable.com/upRVNFuTKmxn8HG2qHCg_%22The%20call%20of%20his%20people%22%202-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/TcBhed7oT4y10d7ERnq6_%22The%20call%20of%20his%20people%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/jgmboZ5lQ1y4cYfCRwG4_%22The%20call%20of%20his%20people%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/xHpuPSESQUqgCVBgSThV_%22The%20call%20of%20his%20people%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/Q2fHpINdTt6QGpVu8e7V_%22The%20call%20of%20his%20people%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/1aD2YEIVR5imBLFXd69d_%22The%20call%20of%20his%20people%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Richard E. Norman and Race Filmmaking",Bowser,,http://digitalcollections.nypl.org/items/510d47df-fb50-a3d9-e040-e00a18064a99,,,"Mercedes Gilbert, George Edward Brown, Edna Morton, Percy Verwayen, Lawrence Chenault, Mae Kemp, James Steven",,,Aubrey Bowser,
The Dungeon,,Drama,out (46).pdf (https://dl.airtable.com/fqDc3M8YTre8o93OpBYP_out%20(46).pdf),"Cast lists consistent in Richards and Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP

""THE DUNGEON."" The Chicago Defender (National Edition) (1921-1967), Mar 31, 1923.",Micheaux Film Corporation,1922,1922,7,"Fountaine,Goodman,Howard,Crowell,Cooke,Thompson,Preer",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,Micheaux Film Corporation,Oscar Micheaux,"William E. Fountaine, J.K. Goodman, Shingzie Howard, W.F. Crowell, Earl Brown Cooke, Blanche Thompson, Evelyn Preer",Oscar Micheaux,,Oscar Micheaux,
The Girl from the Pepper Patch,,Comedy,out (4).pdf (https://dl.airtable.com/u0k44A5nTZaHjq7a3jUN_out%20(4).pdf),"D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922.",Lone Star Motion Picture Company,1922,,4,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Greatest Sin,,Drama,out (14).pdf (https://dl.airtable.com/EMcaK8BTQaWE19mXyeev_out%20(14).pdf),"See Box 17, The Greatest Sin folder, GPJ Collection. 

See also D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), Jul 22, 1922. --MP",Trio Productions,1922,,4,"Lewis,Mix",,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection",,,,,,"Mae Lewis, Victor Mix",,,,
The House Behind the Cedars,The House Beyond the Cedars,Drama,out (45).pdf (https://dl.airtable.com/q032vw40TV28inxgaXDt_out%20(45).pdf),"""MRS, RHINELANDER IS WANTED FOR PICTURES."" Afro-American (1893-1988), May 23, 1925.",Micheaux Film Corporation,1922,1925,9,"Howard,Bishop,Chenault",Micheaux,Micheaux,,,"Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Shingzie Howard, Andrew S. Bishop, Lawrence Chenault",Oscar Micheaux,,Oscar Micheaux,
The Leader of His Race ,,"Documentary ,Newsreel",,"The life and achievements of Dr. Booker T. Washington, founder and president of Tuskegee, Alabama. ",Reol Productions Corporation,1922,,,Washington ,Levy,Levy,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,,Robert Levy,Booker T. Washington ,Robert Levy,,,
The Perfect Dreamer,,,,Unable to verify,"Young Producers Filming Corporation,Famous Artist Film Company",1922,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Schemers,,Drama,out (10).pdf (https://dl.airtable.com/Y6RuY6iIRL6uxX3iZblW_out%20(10).pdf),Afro-American,Reol Productions Corporation,1922,8/21/1922,6,"Morton,Chenault,Brown,Thomas,Slater,Crosby",Levy,,,"""""""The schemers"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/QFwAm0nRguOxIYJTDOBA_%22The%20schemers%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers""""1 - NYPL Digital Collections.pdf (https://dl.airtable.com/10obEi53SuqlDh5u2qW9_%22The%20schemers%221%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 2- NYPL Digital Collections.pdf (https://dl.airtable.com/8MpuCIrYSEK5e1hmdfOI_%22The%20schemers%22%202-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/1NcekYB1SASnWNeB3rhG_%22The%20schemers%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/2ZAmPk3TVOWCrGeEa2Jw_%22The%20schemers%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers."""" 5- NYPL Digital Collections.pdf (https://dl.airtable.com/dkGNZGNTKuCbEur787xt_%22The%20schemers.%22%205-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/2k279s1TkymBGO3lBC7Q_%22The%20schemers%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 7- NYPL Digital Collections.pdf (https://dl.airtable.com/ywnYYIATQPKS5klF3EGx_%22The%20schemers%22%207-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",,,http://digitalcollections.nypl.org/items/510d47df-fb6f-a3d9-e040-e00a18064a99,,,"Edna Morton, Lawrence Chenault, George Edward Brown, Walter Thomas, Bob Slater, Orma Crosby",Robert Levy,,,
The Stranger from Way Out Yonder,You Can't Keep a Good Man Down,Comedy,out (4).pdf (https://dl.airtable.com/Hnd925I1RLymtklJqYd7_out%20(4).pdf),"D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. 

D. I. T. (1922, Aug 12). Motion picture news. The Chicago Defender (National Edition) (1921-1967)",Lone Star Motion Picture Company,1922,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Wife Hunters,,Comedy,"out (59).pdf (https://dl.airtable.com/9kze9C8SKyugVaZ5NmfB_out%20(59).pdf),out (21).pdf (https://dl.airtable.com/4cbePsx8QSO0XwZZhQRF_out%20(21).pdf)","D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Jan 13, 1923. 

On Teycer and White's involvement, see D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. ",Lone Star Motion Picture Company,1922,1922,2,"White,Purty,Townsend,Stevens,Massey,Grant,Walton,Selby",White,,Teycer,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Bob White, Jessie Purty, Edward Townsend, V. Stevens, P. Massey, H.C. Grant, J.T. Walton, J.G. Selby",Bob White,,,B.L. Teycer
The Wrong Mr. Johnson,,,out (4).pdf (https://dl.airtable.com/ILBe8hdHQIiGO5fFYJna_out%20(4).pdf),"Serial. See D. Ireland Thomas. (1922, Aug 12). Motion picture news. The Chicago Defender (National Edition) (1921-1967). Not clear if this was ever produced. --MP",Lone Star Motion Picture Company,1922,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Uncle Jasper's Will,Jasper Landry's Will,Drama,The_New_York_Age_Sat__Mar_31__1923_.pdf (https://dl.airtable.com/Nm9xf7SOQgmBYK41vLMa_The_New_York_Age_Sat__Mar_31__1923_.pdf),"Dispute about whether this film was actually produced or exhibited. See filmography in Musser et al., p. 275.

The New York Age (New York, New York), Sat, Mar 31, 1923, Page 6",Micheaux Film Corporation,1922,1922,,"Fountaine,Howard",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,Micheaux Film Corporation,Oscar Micheaux,"William E. Fountaine, Shingzie Howard",Oscar Micheaux,,,
Undisputed Evidence,,,350 clipping.png (https://dl.airtable.com/swBCIy5pTUy6AT8O9Qkm_350%20clipping.png),"Film mentioned in article about Motion Pictures News. Article focuses on the discussion of race theaters. 

Primary Source:
D, I. T. (1922, Mar 11). Motion picture news. The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491914552?accountid=14512

D, I. T. (1922, Mar 11). Motion picture news. The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491914552?accountid=14512",Cotton Blossom Film Corporation,1922,1922,5,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Woman's Error,,,Screen Shot 2016-05-18 at 2.28.54 PM.png (https://dl.airtable.com/Er06qybvRYupB4J9AzAB_Screen%20Shot%202016-05-18%20at%202.28.54%20PM.png),"FILM COMPANY EXPANDING."" The Billboard (Archive: 1894-1960) 34, no. 4 (Jan 28, 1922): 107.",Afro-American Film Company,1922,1923,,,Souders,Souders,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Souders,,,,Tressie Souders,,Tressie Souders,,Tressie Souders,
Wrong All Around,,,,"Unable to verify. --MP

",Lone Star Motion Picture Company,1922,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
You Can't Keep a Good Man Down,The Stranger from Way Out Yonder,,out (1).pdf (https://dl.airtable.com/JaVd5M8SmiyqbEWpYTNQ_out%20(1).pdf),"D, IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Dec 16, 1922. ",Lone Star Motion Picture Company,1922,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Virgin of Seminole,,"Drama,Western",The_New_York_Age_Sat__Mar_24__1923_.pdf (https://dl.airtable.com/Xysbp1WyRdumgl8awgAs_The_New_York_Age_Sat__Mar_24__1923_.pdf),"Two versions, one with 7 reels, one with 5 reels.

The New York Age (New York, New York), Sat, Mar 24, 1923, Page 6",Micheaux Film Corporation,5/1/1922,1922,7,"Fountaine,Howard",Micheaux,Micheaux,,,Oscar Micheaux and His Circle,Micheaux,,,,Oscar Micheaux,"William E. Fountaine, Shingzie Howard",Oscar Micheaux,,Oscar Micheaux,
Devils Match,"Devils (The) Match, The Devils","Boxing,Comedy",out (34).pdf (https://dl.airtable.com/ArU43MYmTXDWB1TiVD7j_out%20(34).pdf),"Box 53, F28, GPJ Collection

Display ad 9 -- no title. (1923, Jan 06). Afro-American (1893-1988).

",E&H Distribution Company,1923,1923,,Smart,,,,,George P. Johnson Negro Film Collection,,,,,,Bobby Smart,,,,
