LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Patterson,Warren,Warren Patterson,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Patton,Jonella,Jonella Patton,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Paul,Ike,Ike Paul,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Broken Violin,,,,Oscar Micheaux and His Circle,,,,
Peacock,Leslie T.,Leslie T. Peacock,,,,"A ""former captain in the English Army,"" scenario writer for Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,,
Pearson,Charles,Charles Pearson,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Penalver,Clarence,Clarence Penalver,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Peoples,Neva,Neva Peoples,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Peregini,Frank,Frank Peregini,,,,,,,The Scar of Shame,,,Slow Fade to Black,,,,
Peterson,William,William Peterson,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pettus,William E.,William E. Pettus,,,,"Mentioned in Musser's CPFC filmography in Bowser et al., 283. --MP",,The Scar of Shame,,,,Oscar Micheaux and His Circle,,,,
Phillips,R.G.,R.G. Phillips,,,,,,,"A Black Sherlock Holmes,Spying the Spy",,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Phillips,George,George Phillips,,,,"According to Sampson, was representative of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Pickens,Albertine,Albertine Pickens,,,,,,The Law of Nature,,,,Blacks in Black and White,,,,
Pickett,Bill,Bill Pickett,,1870,1932,"Of 101 Ranch Outfit in Texas. Box 53, F28


http://www.normanstudios.org/norman-films-stars/norman-players/bill-pickett/",,"The Bull-Dogger,The Crimson Skull",,,,"Oscar Micheaux and His Circle,George P. Johnson Negro Film Collection",,,,
Pierson,Don,Don Pierson,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pillups,P.,P. Pillups,,,,"Mentioned as appearing in A Giant of His Race, Winston-Salem Journal (Winston-Salem, North Carolina) �� Sun, May 15, 1921 �� Page 21",,A Giant of His Race,,,,,,,,
Plater,Henry,Henry Plater,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,,
Platts,Harold,Harold Platts,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,,
Pleasants,Henry,Henry Pleasants,Henry Pleasant,,,,,"The Secret Sorrow,Ties of Blood",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Pollard,R.L.,R.L. Pollard,,,,"The African American ""front man"" for Ebony Productions, per Peterson. --MP",,,,,,,,Ebony Film Corporation,,
Pollard,Frank,Frank Pollard,,,,,,"A Black and Tan Mix-Up,A Black Sherlock Holmes,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pollard,L.T.,L.T. Pollard,,,,"According to Sampson, was director of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Pope,Leo,Leo Pope,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Popkin,Harry,Harry Popkin,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Popkin,Leo,Leo Popkin,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Portman,Eric,Eric Portman,,,,,,The Assignment,,,,,,,,
Preer,Evelyn,Evelyn Preer,,8/16/1896,11/27/1932,"Thompson (her daughter) gives her DOB as 7/26/1896, in Bowser et al., 28. --MP

Obituary: The New York Age (New York, New York) 26 Nov 1932, Sat ��� Page 1",clipping_5267351.pdf (https://dl.airtable.com/QETrk3U1QeyFOqK6Byty_clipping_5267351.pdf),"The Brute,Within Our Gates,Birthright,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,The Gunsaulus Mystery,Spider's Web,Georgia Rose,Oft in the Silly Night",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,Lafayette Players,
Prevost,Minnie,Minnie Prevost,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Price,Mildred,Mildred Price,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Price,Victor,Victor Price,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Professor Hosay',, Professor Hosay',,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pryor,H.L.,H.L. Pryor,,,,,,Easy Money,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Purty,Jessie,Jessie Purty,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Quintette,Norman,Norman Quintette,,,,,,Harlem Mania,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Randol,George,George Randol,,11/19/1895,12/23/1973,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Ray,Arthur,Arthur Ray,,,,,,"Ties of Blood,The Burden of Race,Thirty Years Later,Oft in the Silly Night",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ray,Ellen,Ellen Ray,,,,,,"Come Back,The Comeback",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Reavis,Teddy,Teddy Reavis,,,,,,A Chocolate Cowboy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Redd,Clarence,Clarence Redd,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Reed,George,George Reed,,,,"On involvement in Bishop of the Ozarks, see D. Ireland Thomas (1922, Aug 12). Motion picture news. The Chicago Defender (National Edition) (1921-1967).",out (3).pdf (https://dl.airtable.com/UxR0TQsDTOO6m1W2BDAT_out%20(3).pdf),"Absent,Bishop of the Ozarks",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Reiger,Arthur C.,Arthur C. Reiger,,,,"Shareholder in Reol Productions, per Peterson. --MP",,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,Reol Productions Corporation,,
Reynolds,Steve,Steve Reynolds,Peg,7/7/1892,,"http://www.normanstudios.org/norman-films-stars/norman-players/steve-peg-reynolds/
",,"The Flying Ace,The Bull-Dogger,The Crimson Skull,Regeneration,Black Gold",,,,,,,,
Reynolds,Sheldon,Sheldon Reynolds,,,,,,,The Assignment,,,,,,,
Rice,Versia,Versia Rice,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Richardson,Sallie,Sallie Richardson,,,,,,The Law of Nature,,,,Blacks in Black and White,,,,
Ridley,Ethel,Ethel Ridley,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Riley,W.M.,W.M. Riley,,,,"Secretary-treasurer of Eagle Film Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Eagle Film Company,,
Roane,Charles B.,Charles B. Roane,,,,"According to Sampson, was secretary of Ebony. --MP",,,,,,,,Ebony Film Corporation,,
Robeson,Paul,Paul Robeson,,,,,,Body and Soul,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,Tonofilm Corporation,,
Robinson,Mademe,Mademe Robinson,Mme. Robinson,,,,,"Body and Soul,Spitfire,Thirty Years Later,A Daughter of the Congo",,,,,,,,
Robinson,Bill,Bill Robinson,"Bill ""Bojangles"" Robinson",,,,,"Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Hello Bill",,,,The Ambitions of William Foster,,,,
Robinson,Arthur,Arthur Robinson,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Robinson,Sam,Sam Robinson,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes,Spying the Spy",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Robinson,James,James Robinson,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Robinson,Walter,Walter Robinson,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Rodgers,Marshall,Marshall Rodgers,Marshall Rogers,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,"Spider's Web,Body and Soul",,,,Oscar Micheaux and His Circle,,,,
Rodgers,George E.,George E. Rodgers,,,,"According to Sampson, Rodgers was VP of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Rogers,Hilda,Hilda Rogers,,,,,,Temptation,,,,Slow Fade to Black,,,,
Ross,Clinton,Clinton Ross,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Roth,Murray,Murray Roth,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Rowland,Nina,Nina Rowland,,,,"Named in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Rucker,Clarence,Clarence Rucker,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,,
Ruffin,James D.,James D. Ruffin,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Russell,Julia Theresa,Julia Theresa Russell,,,,,,Body and Soul,,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Russell,Alice B.,Alice B. Russell,,6/30/1892,12/1/1984,,,"The Wages of Sin,When Men Betray,The Broken Violin,A Daughter of the Congo,Easy Street",,,,,,,,
Russell,Sam,Sam Russell,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Russell,George,George Russell,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Sack,Alfred,Alfred Sack,,,,,,,,St. Louis Blues,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sam Lucas,, Sam Lucas,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sandifer,F.,F. Sandifer,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sanforth,Clifford,Clifford Sanforth,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sargent,E.W.,E.W. Sargent,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Saunders,Elsworth,Elsworth Saunders,,,,,,The Law of Nature,,,,Blacks in Black and White,,,,
Souders,Tressie,Tressie Souders,"Tressa Souders, Tressie Saunders",,,"See Morgan, Kyna. ""Tressie Souders."" In Jane Gaines, Radha Vatsal, and Monica Dall���Asta, eds. Women Film Pioneers Project. Center for Digital Research and Scholarship. New York, NY: Columbia University Libraries, 2013. Web.   September 27, 2013. https://wfpp.cdrs.columbia.edu/pioneer/tressie-souders-2/.

See also: The Frankfort Daily Index (Frankfort, Kansas) �� Tue, Feb 7, 1922 �� Page 1; The Daily Reporter (Greenfield, Indiana) �� Sat, Dec 28, 1946 �� Page 3; The Daily Reporter (Greenfield, Indiana) �� Tue, Mar 17, 1953 �� Page 3.","clipping_5306264.pdf (https://dl.airtable.com/AiJiWPdkTP2niuZnc7kL_clipping_5306264.pdf),clipping_5306284.pdf (https://dl.airtable.com/semkezkaS3CZNgNesMDa_clipping_5306284.pdf),clipping_5306295.pdf (https://dl.airtable.com/YRnxqFYCSBau3wZZCb3j_clipping_5306295.pdf)",,Woman's Error,Woman's Error,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Woman's Error,,,
Saunders ,W.H,W.H Saunders ,,,,,,A Man's Duty,,,,,,,,
Schooler,Lewis,Lewis Schooler,,,,,,"Deceit,The Brute",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Schroeder,Edward,Edward Schroeder,,,,"According to Sampson, was VP of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Scott,Emmett J.,Emmett J. Scott,,,,,,,,The Birth of a Race,,Richard E. Norman and Race Filmmaking,,,,
Scraggins,Traverse,Traverse Scraggins,,,,,,,,,,Slow Fade to Black,,Frederick Douglass Film Company,,
Selby,J.G.,J.G. Selby,,,,,,The Wife Hunters,,,,,,,,
Sewall,Alma,Alma Sewall,Alma Sewell,,,,,"Birthright,The Conjure Woman",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sewall,Olivia,Olivia Sewall,,,,"Same as Alma Sewall, or different? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Shackeford,Floyd,Floyd Shackeford,,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Shannon,Alex K.,Alex K. Shannon,,,,,,"The Simp,Easy Money",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Sherman,Kathryn,Kathryn Sherman,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Shields,Russell,Russell Shields,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",St. Louis Blues,,,
Shoecraft,Joseph,Joseph Shoecraft,,,,,,,,,,,,Foster Photoplay Company,,
Simms,Margaret,Margaret Simms,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Simpson,Walter,Walter Simpson,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sindle,W.D.,W.D. Sindle,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Sissle,Noble,Noble Sissle,,,,,,Sissle and Blake,Snappy Tunes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Skekeeter,Evon,Evon Skekeeter,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Skinner,C. Lucien,C. Lucien Skinner,,,,"GPJ Collection Box 9, Crispus Attucks News Review",,,,,,George P. Johnson Negro Film Collection,,,,
Slater,Bob,Bob Slater,,,,,,"Spitfire,The Schemers,Square Joe",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Slater,Mark,Mark Slater,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Slaughter,Cassie Butch,Cassie Butch Slaughter,,,,,,"The Railroad Porter,The Railroad Porter",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Smallwood,Mildred,Mildred Smallwood,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Smart,Bobby,Bobby Smart,Bobbie Smart,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP

The New York Age (New York, New York) �� Sat, May 12, 1923 �� Page 6 (called ""The Colored Jackie Coogan"")

Appearance in The Devils Match: Display ad 9 -- no title. (1923, Jan 06). Afro-American (1893-1988).",,"His Great Chance,A Shot in the Night,The Devil's Match,Devils Match",,,,George P. Johnson Negro Film Collection,,,,
Smith,James Thomas,James Thomas Smith,,,,,,,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,Lincoln Motion Picture Company,,
Smith,Ethel,Ethel Smith,,,,,,"The Wages of Sin,Smiling Hate,When Men Betray,The Broken Violin,A Prince of His Race,Ten Nights in a Bar-Room ",,,,,,,,
Smith,A.W.,A.W. Smith,Dr. A. W. Smith,,,,,,,,,Richard E. Norman and Race Filmmaking,,Frederick Douglass Film Company,,
Smith,Grace,Grace Smith,Grace Smythe,,,,,"The Millionaire,Spider's Web",,,,"Slow Fade to Black,Oscar Micheaux and His Circle",,,,
Smith,Speedy,Speedy Smith,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Smith,Jimmie,Jimmie Smith,,,,,,The Trooper of Company K,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Smith,Elwood,Elwood Smith,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Smith,Henry,Henry Smith,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Smith,Inez,Inez Smith,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). I wonder if there's an error somewhere, as an actor named ""Ethel Smith"" also exists in our filmography, and the name of Inez Smith's character in The Homesteader is Ethel. --MP",,The Homesteader,,,,Oscar Micheaux and His Circle,,,,
Smith,William,William Smith,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Smith,Bessie,Bessie Smith,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Smith,Byron,Byron Smith,,,,,,Why Worry?,,,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Smith ,Pete,Pete Smith ,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Snead,Florence,Florence Snead,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Snead,Edgar,Edgar Snead,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Snead,Mrs. E.,Mrs. E. Snead,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Snelson,Gertrude,Gertrude Snelson,,,,,,"The Wages of Sin,When Men Betray,Thirty Years Later,The Broken Violin,A Daughter of the Congo",,,,,,,,
Snowden,Carolynne,Carolynne Snowden,,,,,,,,,,Slow Fade to Black,,,,
Southern ,Tom,Tom Southern ,,,,,,Harlem Rides The Range,,,,Blacks in Black and White,,,,
Starkman,David,David Starkman,,,,,,,,"Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ,The Scar of Shame",,Richard E. Norman and Race Filmmaking,The Scar of Shame,Colored Players Film Corporation of Philadelphia,,
Starks,Will,Will Starks,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Stern,Ernest,Ernest Stern,,,,,,,The Witching Eyes,The Witching Eyes,,"""Within Our Gates: Ethnicity in American Feature Films, 1911-1960""",The Witching Eyes,,,
Steven,James,James Steven,,,,,,The Call of His People,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Stevens,V.,V. Stevens,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Stewart,Robert,Robert Stewart,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,Billy Mills Stock Company,,
Stewart,Siam,Siam Stewart,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Stewart,Kink,Kink Stewart,Dink Stewart,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Strasser,Ben,Ben Strasser,,,,,,,His Great Chance,A Shot in the Night,,Slow Fade to Black,,,,
Strenge,Walter,Walter Strenge,,,,,,,,,St. Louis Blues,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sul-Te-Wan,Madame,Madame Sul-Te-Wan,Nellie Wan,3/7/1873,2/1/1959,,,,,,,"Slow Fade to Black,""African American Actresses: The Struggle for Visibility, 1900-1960""",,,,
Sutton,Susie,Susie Sutton,,,,,,"The Brute,The Midnight Ace",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Lafayette Players,
Talley,Josephine,Josephine Talley,,,,,,Smiling Hate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tatum,E.G.,E.G. Tatum,Edward Tatum,,,,,"Birthright,Body and Soul,The Custard Nine,Within Our Gates,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,A Son of Satan,The Millionaire",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tatums,Marshal L.B.,Marshal L.B. Tatums,,,,,,Black Gold,,,,Oscar Micheaux and His Circle,,,,
Taylor,Ruby,Ruby Taylor,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Teal,Joel,Joel Teal,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Teycer,B.L.,B.L. Teycer,,,,"B53, F28. Independent producer and photographer

Owner and cameraman for Lone Star. See D, Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Aug 12, 1922.",out (60).pdf (https://dl.airtable.com/CThY5QrSXuxEDXBLxSsH_out%20(60).pdf),,,,The Wife Hunters,George P. Johnson Negro Film Collection,,Lone Star Motion Picture Company,,
Thomas,Walter,Walter Thomas,,,,,,"The Sport of the Gods,The Schemers",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Thomas,Reed,Reed Thomas,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Thomas,D. Ireland,D. Ireland Thomas,,,,,,,A Man's Duty,,,Blacks in Black and White,,,,
Thompson,Blanche,Blanche Thompson,Blanch Thompson,,,,,"As the World Rolls On,The Dungeon",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Thompson,Edward,Edward Thompson,Eddie Thompson,,,,,"The Devil's Disciple,Spider's Web,Georgia Rose,Oft in the Silly Night",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Lafayette Players,
Thompson,Anita,Anita Thompson,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Thompson,Walker,Walker Thompson,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Thorton,Willard,Willard Thorton,,,,"Head of scenario dept., McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Tolliver Brothers,, Tolliver Brothers,,,,"""J.A. JACKSON'S PAGE: HERE AND THERE AMONG THE FOLKS."" The Billboard (Archive: 1894-1960) 33, no. 12 (Mar 19, 1921): 69. ",ProQuestDocuments-2016-06-05 (1).pdf (https://dl.airtable.com/44WVRSlqSM2HSxY55QuG_ProQuestDocuments-2016-06-05%20(1).pdf),A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tones,Four,Four Tones,,,,,,Harlem Rides The Range,,,,Blacks in Black and White,,,,
Townsend,Edward,Edward Townsend,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Truate,A.B.,A.B. Truate,,,,,,A Day in the Nation's Capital,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tucker,Lorenzo,Lorenzo Tucker,,6/27/1907,8/19/1986,,,"The Wages of Sin,Temptation,The Witching Eyes,When Men Betray,A Daughter of the Congo,Easy Street",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Turnham,Frances,Frances Turnham,,,,,out.pdf (https://dl.airtable.com/uj14PrPzTuNI0xwSQIgS_out.pdf),Bargain with Bullets,,,,The New York Amsterdam News ,,,,
Turpin,Bennie,Bennie Turpin,,,,,,The Bull-Dogger,,,,Oscar Micheaux and His Circle,,,,
Turpin,Charles H.,Charles H. Turpin,,,,,,,Turpin's Real Reels,Pythian Parade and 19th Biannual Encampment,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
